"Rule","Severity","File","Line","Message","Value"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","53","Generated documents must retain this label as text but remove the .md hyperlink.","027-octopus-energy-statement-architecture.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","54","Generated documents must retain this label as text but remove the .md hyperlink.","028-shared-validation-and-jdbc-infrastructure.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","58","Generated documents must retain this label as text but remove the .md hyperlink.","../diagrams/README.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","60","Generated documents must retain this label as text but remove the .md hyperlink.","CURRENT-CODE-INVENTORY.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\ARCHITECTURE.md","61","Generated documents must retain this label as text but remove the .md hyperlink.","DOCUMENTATION-AUDIT.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","33","Generated documents must retain this label as text but remove the .md hyperlink.","../review/DOCUMENTATION-GAP-ANALYSIS-2026-07-26.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","37","Generated documents must retain this label as text but remove the .md hyperlink.","014-database-architecture.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","38","Generated documents must retain this label as text but remove the .md hyperlink.","019-database-persistence-and-pooling.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","39","Generated documents must retain this label as text but remove the .md hyperlink.","020-ingestion-audit-and-provenance.md"
"MARKDOWN_LINK_IN_OUTPUT_SOURCE","Warning","docs\architecture\PHASE-3-DATABASE-PERSISTENCE.md","40","Generated documents must retain this label as text but remove the .md hyperlink.","021-ofgem-price-cap-architecture.md"
